text,context_class,relevance_level,primary_label,secondary_label,tertiary_label,source_page,matched_general_terms,matched_specific_terms,score,source,word_len,char_len,level_weight,length_quality,selection_score
"Macroeconomics is a branch of economics that deals with the performance, structure, behavior, and decision-making of an economy as a whole. This includes regional, national, and global economies . Macroeconomists study aggregate measures of the economy, such as output or gross domestic product (GDP), national income , unemployment , inflation , consumption , saving , investment , or trade. Macroeconomics is primarily focused on questions that help to understand aggregate variables in relation to long-run economic growth .",economics_business,primary,economics,,,Macroeconomics,"economic, economy, growth, inflation, investment, trade","economics, growth, macroeconomics",18.8,wikipedia,78,527,3,4.0,52.073
"The main monetary policy instruments available to central banks are interest rate policy , i.e. setting (administered) interest rates directly, open market operations , forward guidance and other communication activities, bank reserve requirements , and re-lending and re-discount (including using the term repurchase market).",economics_business,primary,banking,,,Monetary_policy,"bank, market","bank, central bank, interest rate, lending, monetary policy",18.5,wikipedia,44,326,3,6.0,54.674
"To identify such stocks , growth investors often evaluate measures of current stock value as well as predictions of future financial performance. Growth investors seek profits through capital appreciation – the gains earned when a stock is sold at a higher price than what it was purchased for. The price-to-earnings (P/E) multiple is also used for this type of investment; growth stock are likely to have a P/E higher than others in its industry. According to Investopedia author Troy Segal and U.S.",economics_business,primary,finance,,,Investment,"growth, industry, investment","capital, financial, investment, stock",18.3,wikipedia,82,500,3,4.0,51.1
"Money market : It is traded with money or financial assets with short-term maturity and high liquidity, generally assets with a term of less than one year. Capital market : Financial assets with medium and long-term maturity are traded, which are basic for carrying out certain investment processes.",economics_business,primary,finance,,,Stock_market,"investment, market, trade","capital, financial, investment, market",18.0,wikipedia,48,299,3,6.0,53.701
"The stock market is one of the most important ways for companies to raise money, along with debt markets which are generally more imposing but do not trade publicly. This allows businesses to be publicly traded, and raise additional financial capital for expansion by selling shares of ownership of the company in a public market.",economics_business,primary,finance,,,Stock_market,"business, market, trade","capital, financial, market, stock",18.0,wikipedia,55,330,3,6.0,53.67
"Financial markets attract funds from investors and channels them to corporations—they thus allow corporations to finance their operations and achieve growth. Money markets allow firms to borrow funds on a short-term basis, while capital markets allow corporations to gain long-term funding to support expansion (known as maturity transformation).",economics_business,primary,finance,,,Financial_market,"finance, growth, market","capital, finance, financial, market",18.0,wikipedia,48,346,3,6.0,53.654
"For monetary policy frameworks operating under an exchange rate anchor, adjusting interest rates are, together with direct intervention in the foreign exchange market (i.e. open market operations), important tools to maintain the desired exchange rate. For central banks targeting inflation directly, adjusting interest rates are crucial for the monetary transmission mechanism which ultimately affects inflation.",economics_business,primary,banking,,,Monetary_policy,"bank, inflation, market","bank, central bank, interest rate, monetary policy",18.0,wikipedia,55,413,3,6.0,53.587
"Central banks can directly or indirectly influence the allocation of bank lending in certain sectors of the economy by applying quotas, limits or differentiated interest rates. This allows the central bank to control both the quantity of lending and its allocation towards certain strategic sectors of the economy, for example to support the national industrial policy, or to environmental investment such as housing renovation.",economics_business,primary,banking,,,Monetary_policy,"bank, economy, investment","bank, central bank, interest rate, lending",18.0,wikipedia,64,428,3,5.0,52.072
"The stock market is one of the most important ways for companies to raise money, along with debt markets which are generally more imposing but do not trade publicly. This allows businesses to be publicly traded, and raise additional financial capital for expansion by selling shares of ownership of the company in a public market. The liquidity that an exchange affords the investors enables their holders to quickly and easily sell securities.",economics_business,primary,finance,,,Stock_market,"business, market, trade","capital, financial, market, stock",18.0,wikipedia,72,444,3,4.0,50.556
"To identify such stocks , growth investors often evaluate measures of current stock value as well as predictions of future financial performance. Growth investors seek profits through capital appreciation – the gains earned when a stock is sold at a higher price than what it was purchased for. The price-to-earnings (P/E) multiple is also used for this type of investment; growth stock are likely to have a P/E higher than others in its industry.",economics_business,primary,finance,,,Investment,"growth, industry, investment","capital, financial, investment, stock",18.0,wikipedia,74,447,3,4.0,50.553
"Monetary policy affects the economy through financial channels like interest rates, exchange rates and prices of financial assets . This is in contrast to fiscal policy , which relies on changes in taxation and government spending as methods for a government to manage business cycle phenomena such as recessions . In developed countries , monetary policy is generally formed separately from fiscal policy, modern central banks in developed economies being independent of direct government control and directives.",economics_business,primary,banking,,,Monetary_policy,"bank, business, economy","bank, central bank, interest rate, monetary policy",18.0,wikipedia,77,513,3,4.0,50.487
"For most central banks in advanced economies, their main monetary policy instrument is a short-term interest rate. For monetary policy frameworks operating under an exchange rate anchor, adjusting interest rates are, together with direct intervention in the foreign exchange market (i.e. open market operations), important tools to maintain the desired exchange rate. For central banks targeting inflation directly, adjusting interest rates are crucial for the monetary transmission mechanism which ultimately affects inflation.",economics_business,primary,banking,,,Monetary_policy,"bank, inflation, market","bank, central bank, interest rate, monetary policy",18.0,wikipedia,72,528,3,4.0,50.472
"Inter-institutional trade and investment, and fund-management at this scale , is referred to as ""wholesale finance"". Institutions here extend the products offered , with related trading, to include bespoke options , swaps , and structured products , as well as specialized financing ; this "" financial engineering "" is inherently mathematical , and these institutions are then the major employers of quantitative analysts (or ""quants"", see below ). In these institutions, risk management , regulatory capital , and compliance play major roles.",economics_business,primary,finance,,,Finance,"finance, investment, trade","capital, finance, financial, investment",18.0,wikipedia,82,543,3,4.0,50.457
"When governments control monetary policy, politicians may be tempted to boost economic activity in advance of an election to the detriment of the long-term health of the economy and the country. As a consequence, financial markets may not consider future commitments to low inflation to be credible when monetary policy is in the hands of elected officials, which increases the risk of capital flight. An alternative to central bank independence is to have fixed exchange rate regimes.",economics_business,primary,banking,,,Central_bank,"bank, economic, economy, inflation, market","bank, central bank, monetary policy",17.8,wikipedia,77,485,3,4.0,50.115
"If the central bank wishes to decrease interest rates, it reduces its administered rates ( Bank Rate , the reverse repurchase agreement rate and the discount rate ). This results in commercial banks bidding down the rate they pay customers on their deposits and, subsequently, loan rates are reduced commensurately. Cheaper credit can increase consumer spending or business investment, stimulating output growth.",economics_business,primary,banking,,,Central_bank,"bank, business, consumer, growth, investment","bank, central bank, interest rate",17.5,wikipedia,62,412,3,6.0,52.588
"However, targeting the money supply growth rate was not a success in practice because the relationship between inflation, economic activity, and measures of money growth turned out to be unstable. Consequently, the importance of the money supply as a guide for the conduct of monetary policy has diminished over time, and after the 1980s central banks have shifted away from policies that focus on money supply targeting.",economics_business,primary,banking,,,Monetary_policy,"bank, economic, growth, inflation, supply","bank, central bank, monetary policy",17.5,wikipedia,67,421,3,5.0,51.079
"If the central bank wishes to decrease interest rates, it reduces its administered rates ( Bank Rate , the reverse repurchase agreement rate and the discount rate ). This results in commercial banks bidding down the rate they pay customers on their deposits and, subsequently, loan rates are reduced commensurately. Cheaper credit can increase consumer spending or business investment, stimulating output growth. On the other hand, cheaper interest income can reduce spending, suppressing output.",economics_business,primary,banking,,,Central_bank,"bank, business, consumer, growth, investment","bank, central bank, interest rate",17.5,wikipedia,74,496,3,4.0,49.504
"However, targeting the money supply growth rate was not a success in practice because the relationship between inflation, economic activity, and measures of money growth turned out to be unstable. Consequently, the importance of the money supply as a guide for the conduct of monetary policy has diminished over time, and after the 1980s central banks have shifted away from policies that focus on money supply targeting. Today, it is widely considered a weak policy, because it is not stably related to the growth of real output.",economics_business,primary,banking,,,Monetary_policy,"bank, economic, growth, inflation, supply","bank, central bank, monetary policy",17.5,wikipedia,87,530,3,4.0,49.47
"Within the financial sector, the term ""financial markets"" is often used to refer just to the markets that are used to raise finances. For long term finance, they are usually called the capital markets ; for short term finance, they are usually called money markets .",economics_business,primary,finance,,,Financial_market,"finance, market","capital, finance, financial, market",17.0,wikipedia,46,266,3,6.0,51.734
"Many central banks have one primary ""headline"" rate that is quoted as the ""central bank rate"". In practice, they will have other tools and rates that are used, but only one that is rigorously targeted and enforced. A typical central bank consequently has several interest rates or monetary policy tools it can use to influence markets.",economics_business,primary,banking,,,Monetary_policy,"bank, market","bank, central bank, interest rate, monetary policy",17.0,wikipedia,56,335,3,6.0,51.665
"For long term finance, they are usually called the capital markets ; for short term finance, they are usually called money markets . The money market deals in short-term loans, generally for a period of a year or less. Another common use of the term is as a catchall for all the markets in the financial sector, as per examples in the breakdown below.",economics_business,primary,finance,,,Financial_market,"finance, market","capital, finance, financial, market",17.0,wikipedia,64,351,3,6.0,51.649
"Within the financial sector, the term ""financial markets"" is often used to refer just to the markets that are used to raise finances. For long term finance, they are usually called the capital markets ; for short term finance, they are usually called money markets . The money market deals in short-term loans, generally for a period of a year or less.",economics_business,primary,finance,,,Financial_market,"finance, market","capital, finance, financial, market",17.0,wikipedia,62,352,3,6.0,51.648
These are examples of how behavioral phenomena may have a substantial influence on monetary policy. Monetary policy analyses should thus account for the fact that policymakers (or central bankers) are individuals and prone to biases and temptations that can sensibly influence their ultimate choices in the setting of macroeconomic and/or interest rate targets.,economics_business,primary,banking,,,Monetary_policy,"bank, economic","bank, central bank, interest rate, monetary policy",17.0,wikipedia,53,361,3,6.0,51.639
"For most central banks in advanced economies, their main monetary policy instrument is a short-term interest rate. For monetary policy frameworks operating under an exchange rate anchor, adjusting interest rates are, together with direct intervention in the foreign exchange market (i.e. open market operations), important tools to maintain the desired exchange rate.",economics_business,primary,banking,,,Monetary_policy,"bank, market","bank, central bank, interest rate, monetary policy",17.0,wikipedia,52,367,3,6.0,51.633
"The tools of monetary policy vary from central bank to central bank, depending on the country's stage of development, institutional structure, tradition and political system. Interest-rate targeting is generally the primary tool, being obtained either directly via administratively changing the central bank's own interest rates or indirectly via open market operations .",economics_business,primary,banking,,,Monetary_policy,"bank, market","bank, central bank, interest rate, monetary policy",17.0,wikipedia,52,371,3,6.0,51.629
"In recent decades, states modeled some of their assets and enterprises after business enterprises. In 2003, for example, China modeled 80% of its state-owned enterprises on a company-type management system. Many state institutions and enterprises in China and Russia have transformed into joint-stock companies, with part of their shares being listed on public stock markets.",economics_business,primary,business,,,Business,"business, market","business, company, enterprise, management",17.0,wikipedia,55,375,3,6.0,51.625
"Growth investors seek investments they believe are likely to have higher earnings or greater value in the future. To identify such stocks , growth investors often evaluate measures of current stock value as well as predictions of future financial performance. Growth investors seek profits through capital appreciation – the gains earned when a stock is sold at a higher price than what it was purchased for.",economics_business,primary,finance,,,Investment,"growth, investment","capital, financial, investment, stock",17.0,wikipedia,66,408,3,6.0,51.592
"setting (administered) interest rates directly, open market operations , forward guidance and other communication activities, bank reserve requirements , and re-lending and re-discount (including using the term repurchase market). While capital adequacy is important, it is defined and regulated by the Bank for International Settlements , and central banks in practice generally do not apply stricter rules.",economics_business,primary,banking,,,Monetary_policy,"bank, market","bank, central bank, interest rate, lending",17.0,wikipedia,57,408,3,6.0,51.592
"Platforms, such as eToro , Plus500 , Robinhood , and AvaTrade serve as a digital medium for trading financial instruments and make financial markets more accessible, allowing individual investors to participate in trading without the need for traditional brokers or substantial capital. They also provide features such as real-time market data, stock price analysis, research reports, and news updates, which support decision-making in trading activities.",economics_business,primary,finance,,,Stock_market,"market, trade","capital, financial, market, stock",17.0,wikipedia,65,455,3,5.0,50.045
"Asset- , money- , risk- and investment management aim to maximize value and minimize volatility . Financial analysis assesses the viability, stability, and profitability of an action or entity. Some fields are multidisciplinary, such as mathematical finance , financial law , financial economics , financial engineering and financial technology . These fields are the foundation of business and accounting .",economics_business,primary,finance,,,Finance,"business, economic, finance, investment","finance, financial, investment",16.8,wikipedia,60,407,3,6.0,51.193000000000005
"^ ""Understanding Derivatives: Markets and Infrastructure - Federal Reserve Bank of Chicago"" . ^ ""Financial Markets - Overview, Types, and Functions"" ^ The Business Finance Market: A Survey ISR/Google Books, 2013. Money and Banking: ""Chapter 2, Section 4: Financial Markets."" pp. 3 Accessed June 20, 2012 ^ Khader Shaik (23 September 2014).",economics_business,primary,finance,,,Financial_market,"bank, business, finance, market","finance, financial, market",16.5,wikipedia,52,339,3,6.0,50.661
"Through open market operations , a central bank may influence the level of interest rates, the exchange rate and/or the money supply in an economy. Open market operations can influence interest rates by expanding or contracting the monetary base , which consists of currency in circulation and banks' reserves on deposit at the central bank.",economics_business,primary,banking,,,Monetary_policy,"bank, economy, market, supply","bank, central bank, interest rate",16.5,wikipedia,55,341,3,6.0,50.659
"The primary difficulty is that few developing countries have deep markets in government debt. The matter is further complicated by the difficulties in forecasting money demand and fiscal pressure to levy the inflation tax by expanding the base rapidly. In general, the central banks in many developing countries have poor records in managing monetary policy.",economics_business,primary,banking,,,Monetary_policy,"bank, demand, inflation, market","bank, central bank, monetary policy",16.5,wikipedia,55,358,3,6.0,50.642
"^ ""Financial Markets - Overview, Types, and Functions"" ^ The Business Finance Market: A Survey ISR/Google Books, 2013. Money and Banking: ""Chapter 2, Section 4: Financial Markets."" pp. 3 Accessed June 20, 2012 ^ Khader Shaik (23 September 2014). Managing Derivatives Contracts: A Guide to Derivatives Market Structure, Contract Life Cycle, Operations, and Systems .",economics_business,primary,finance,,,Financial_market,"bank, business, finance, market","finance, financial, market",16.5,wikipedia,55,365,3,6.0,50.635
"By the 17th century, the growth of global trade networks made investment activity increasingly recognizable in its modern form. Shipping ventures to Asia undertaken by Dutch, British, and French companies often required large pools of capital, encouraging shipowners to seek outside investors willing to finance long-distance voyages in exchange for a share of the profits when ships returned safely.",economics_business,primary,finance,,,Investment,"finance, growth, investment, trade","capital, finance, investment",16.5,wikipedia,59,400,3,6.0,50.6
"Market participants include individual retail investors, institutional investors (e.g., pension funds , insurance companies , mutual funds , index funds , exchange-traded funds , hedge funds , investor groups, banks and various other financial institutions ), and also publicly traded corporations trading in their own shares. Robo-advisors , which automate investment for individuals, are also major participants.",economics_business,primary,finance,,,Stock_market,"bank, investment, market, trade","financial, investment, market",16.5,wikipedia,57,414,3,6.0,50.586
"Consequently, the importance of the money supply as a guide for the conduct of monetary policy has diminished over time, and after the 1980s central banks have shifted away from policies that focus on money supply targeting. Today, it is widely considered a weak policy, because it is not stably related to the growth of real output. As a result, a higher output growth rate will result in a too low level of inflation.",economics_business,primary,banking,,,Monetary_policy,"bank, growth, inflation, supply","bank, central bank, monetary policy",16.5,wikipedia,74,419,3,5.0,49.081
"Interest-rate targeting is generally the primary tool, being obtained either directly via administratively changing the central bank's own interest rates or indirectly via open market operations . Interest rates affect general economic activity and consequently employment and inflation via a number of different channels, known collectively as the monetary transmission mechanism , and are also an important determinant of the exchange rate.",economics_business,primary,banking,,,Monetary_policy,"bank, economic, inflation, market","bank, central bank, interest rate",16.5,wikipedia,62,442,3,5.0,49.058
"Developing countries may have problems establishing an effective operating monetary policy. The primary difficulty is that few developing countries have deep markets in government debt. The matter is further complicated by the difficulties in forecasting money demand and fiscal pressure to levy the inflation tax by expanding the base rapidly. In general, the central banks in many developing countries have poor records in managing monetary policy.",economics_business,primary,banking,,,Monetary_policy,"bank, demand, inflation, market","bank, central bank, monetary policy",16.5,wikipedia,66,450,3,5.0,49.05
"In practice, they will have other tools and rates that are used, but only one that is rigorously targeted and enforced. A typical central bank consequently has several interest rates or monetary policy tools it can use to influence markets.",economics_business,primary,banking,,,Monetary_policy,"bank, market","bank, central bank, interest rate, monetary policy",16.0,wikipedia,40,240,3,6.0,49.76
"For most central banks in advanced economies, their main monetary policy instrument is a short-term interest rate. For monetary policy frameworks operating under an exchange rate anchor, adjusting interest rates are, together with direct intervention in the foreign exchange market (i.e.",economics_business,primary,banking,,,Monetary_policy,"bank, market","bank, central bank, interest rate, monetary policy",16.0,wikipedia,41,287,3,6.0,49.713
But critics such as Jens Weidmann are arguing it is not central banks' role to conduct climate policy. China is among the most advanced central banks when it comes to green monetary policy. It has given green bonds preferential status to lower their yield and uses window policy to direct green lending.,economics_business,primary,banking,,,Central_bank,bank,"bank, central bank, lending, monetary policy",16.0,wikipedia,52,303,3,6.0,49.697
"The primary monetary policy tool available to central banks is the administered interest rate paid on qualifying deposits held with them. Adjusting this rate up or down influences the rate commercial banks pay on their own customer deposits, which in turn influences the rate that commercial banks charge customers for loans.",economics_business,primary,banking,,,Central_bank,bank,"bank, central bank, interest rate, monetary policy",16.0,wikipedia,51,325,3,6.0,49.675
"It has been a challenge for banks to effectively set their growth strategies with the recent economic market. A rising interest rate environment may seem to help financial institutions, but the effect of the changes on consumers and businesses is not predictable and the challenge remains for banks to grow and effectively manage the spread to generate a return to their shareholders.",economics_business,primary,banking,,,Bank,"bank, business, consumer, economic, growth, market","bank, interest rate",16.0,wikipedia,62,384,3,6.0,49.616
"Other forms of monetary policy, particularly used when interest rates are at or near 0% and there are concerns about deflation or deflation is occurring, are referred to as unconventional monetary policy . These include credit easing , quantitative easing , forward guidance , and signalling . In credit easing, a central bank purchases private sector assets to improve liquidity and improve access to credit.",economics_business,primary,banking,,,Central_bank,bank,"bank, central bank, interest rate, monetary policy",16.0,wikipedia,65,409,3,6.0,49.591
"As a consequence, financial markets may not consider future commitments to low inflation to be credible when monetary policy is in the hands of elected officials, which increases the risk of capital flight. An alternative to central bank independence is to have fixed exchange rate regimes.",economics_business,primary,banking,,,Central_bank,"bank, inflation, market","bank, central bank, monetary policy",15.8,wikipedia,46,290,3,6.0,49.31
Growth investors seek profits through capital appreciation – the gains earned when a stock is sold at a higher price than what it was purchased for. The price-to-earnings (P/E) multiple is also used for this type of investment; growth stock are likely to have a P/E higher than others in its industry. According to Investopedia author Troy Segal and U.S.,economics_business,primary,finance,,,Investment,"growth, industry, investment","capital, investment, stock",15.8,wikipedia,60,354,3,6.0,49.246
"Microeconomics is a branch of economics that studies the behavior of individuals and firms in making decisions regarding the allocation of scarce resources and the interactions among these individuals and firms. Microeconomics focuses on the study of individual markets, sectors, or industries as opposed to the economy as a whole, which is studied in macroeconomics .",economics_business,primary,economics,,,Microeconomics,"economic, economy, market","economics, macroeconomics, microeconomics",15.8,wikipedia,56,368,3,6.0,49.232
"Researchers in experimental finance study how well existing financial economics theories make accurate predictions and seek to validate them. They also aim to discover new principles to extend these theories for future financial decisions. This research often involves conducting trading simulations or observing human behavior in artificial, competitive, market-like environments.",economics_business,primary,finance,,,Finance,"economic, finance, market","finance, financial, market",15.8,wikipedia,50,381,3,6.0,49.219
"Episodes are usually broadcast in annual sets, which are called seasons in North America and series in other regions. A one-off television show may be called a television special , while a show with a limited number of episodes is a miniseries . A television film , or telefilm , is a feature film produced for broadcast by a terrestrial or cable network.",entertainment,primary,television,,,Television_show,"film, series, show, television","broadcast, episode, series, show, television",21.5,wikipedia,63,355,3,6.0,60.645
"A regularly recurring show is called a television series, and an individual segment of such a series is called an episode. Content is produced either in-house on a television stage with multiple cameras or produced by contract with film production companies. Episodes are usually broadcast in annual sets, which are called seasons in North America and series in other regions.",entertainment,primary,television,,,Television_show,"film, series, show, television","broadcast, episode, series, show, television",21.5,wikipedia,60,376,3,6.0,60.624
"Content is produced either in-house on a television stage with multiple cameras or produced by contract with film production companies. Episodes are usually broadcast in annual sets, which are called seasons in North America and series in other regions. A one-off television show may be called a television special , while a show with a limited number of episodes is a miniseries .",entertainment,primary,television,,,Television_show,"film, series, show, television","broadcast, episode, series, show, television",21.5,wikipedia,63,381,3,6.0,60.619
"Content is produced either in-house on a television stage with multiple cameras or produced by contract with film production companies. Episodes are usually broadcast in annual sets, which are called seasons in North America and series in other regions. A one-off television show may be called a television special , while a show with a limited number of episodes is a miniseries . A television film , or telefilm , is a feature film produced for broadcast by a terrestrial or cable network.",entertainment,primary,television,,,Television_show,"film, series, show, television","broadcast, episode, series, show, television",21.5,wikipedia,83,491,3,4.0,57.509
"This generally excludes breaking news or advertisements that are aired between shows or between segments of a show. A regularly recurring show is called a television series, and an individual segment of such a series is called an episode. Content is produced either in-house on a television stage with multiple cameras or produced by contract with film production companies. Episodes are usually broadcast in annual sets, which are called seasons in North America and series in other regions.",entertainment,primary,television,,,Television_show,"film, series, show, television","broadcast, episode, series, show, television",21.5,wikipedia,78,492,3,4.0,57.508
